Time;Epoch;Train Loss;Test Loss;Exp_Diff;Train_1;Train_2;Train_3;Train_4;Train_5;Train_6;Train_7;Train_8;Train_9;Train_10;Train_11;Train_12;Test_1;Test_2;Test_3;Test_4;Test_5;Test_6;Test_7;Test_8;Test_9;Test_10;Test_11;Test_12;Exp_1;Exp_2;Exp_3;Exp_4;Exp_5;Exp_6;Exp_7;Exp_8;Exp_9;Exp_10;Exp_11;Exp_12
00:00:03;1;4.635215326884193;4.63528016777379;0.0017065670357927262;5.303207137071386;5.377734774642268;5.130690226828081;4.4059981955320335;5.480987956291531;4.52566280134142;3.3442880900334675;4.431455752550235;4.3706713360959215;3.588478404988196;5.575732821049629;3.2600839367211956;5.377717258677767;5.4250892354757125;5.178435905638693;4.392072180431552;5.527107842630694;4.529029490357903;3.3344448360585277;4.389220644503944;4.327638083203037;3.4780257303793167;5.569728985518239;3.1749206031333603;0.0003717752731085741;0.00023533914828164146;0.00815712200664802;0.00511612130789119;0.0004902840938472173;0.00327535400258871;0.00014296489527075608;0.0006666810840819636;0.0006469357362546641;0.0003108292498638854;0.0009217156064396503;0.00014368202523643426
00:00:07;2;4.098194270757022;4.112663493290137;0.001487793370156313;4.994689052890167;4.758816906274036;4.3060194922110275;3.988244568759821;4.678830806472416;4.055610206229104;2.7216345814701364;4.028957807027393;3.8503274489969597;3.2322826292245734;4.905358927983283;2.861249430353903;5.058153988826928;4.836458486210328;4.3295053540298865;4.00729302499218;4.7621381360279464;4.023808535848788;2.7323391584022723;3.9950456621152695;3.8191191674636817;3.1248214401923002;4.944587489279752;2.8450928304614638;0.0005062610910518322;0.0005923211518296223;0.004709487105127345;0.004463371240726425;0.0004072832427688955;0.0038122947605639863;0.00025868663017403513;0.0007835998122280191;0.0007590465440663175;0.00032785858624906594;0.0009754600526033605;0.0002578502244868474
00:00:10;3;3.74530367497155;3.7552204169727545;0.0013942122963019378;4.057620205415773;4.435568247149955;4.0937446219008695;3.7545554882354364;4.272298060978616;3.8032451629986688;2.56822493286117;3.73900422751674;3.568624648355047;3.0348281967147748;4.310640149555266;2.7410932502990972;4.054184731343492;4.500636926209756;4.121781317820795;3.775943290338684;4.339431025132442;3.7794340107146196;2.5697741263587823;3.7180968530312914;3.5633895650661427;2.953206178030109;4.343494944097537;2.7300729446210634;0.0009906043638701072;0.0004997490934708018;0.004503011552081722;0.003598347857642082;0.00038883817387745434;0.0030157190128542698;0.0002440215538727554;0.0007780096762417089;0.000823417582952331;0.0003222227406629131;0.0013281564774326423;0.00023844947066447165
00:00:14;4;3.6172555107289868;3.6220600829821703;0.001427742748664004;3.7613844944545587;4.335927298933004;3.9312037753470968;3.7058180668250444;4.200689686548312;3.6932478842468073;2.5526641969799875;3.6183131912773323;3.4037002746012326;2.9150212287525346;4.111847603196832;2.644757344089462;3.7457761983881124;4.405530387648033;3.9544827091313532;3.6968623928220126;4.228821003794668;3.660902670358765;2.5328456328416205;3.580961431336154;3.4346877554394757;2.866289235845551;4.138039136169627;2.6509951511289067;0.0008573512648196856;0.0006810596868849454;0.003537380071924841;0.005148664598589351;0.0004984442774872432;0.002646016857884216;0.00019708264170762032;0.0007013683969659547;0.0007724068853041467;0.0003427416471700043;0.00151838278694106;0.00023201386828897757
00:00:18;5;3.4964446612156834;3.5036214506825916;0.00143664156608489;3.7675831050720894;4.146728891577357;3.9928203497049135;3.5662188154111694;3.8722320780770265;3.6078193614660927;2.3783710348711318;3.505626861568103;3.222282925067599;2.7972598577589136;3.978960766424866;2.5796154125880992;3.718962812966406;4.224181368714439;4.030123569600849;3.5583259187762373;3.9193389407170356;3.579932705272771;2.3810487279046133;3.4743479304956604;3.244208160567683;2.7407591454222127;4.005571424372131;2.5937442837865974;0.0008840591761123281;0.0006143772681136596;0.004485716951580907;0.004379973217158876;0.0008135808542502117;0.0024541889515557833;0.00018116229197420413;0.0006708305365178338;0.0006846092409092934;0.00033606300313992864;0.0015021795795571579;0.00023295772214850538
00:00:22;6;3.251029817400956;3.261291168347622;0.0013849760368615331;3.37584528239058;3.7192279924848415;3.8754910097443847;3.3453154857066782;3.4102260157185365;3.49712903075923;2.29960070003646;3.378907379162939;2.9779511378784145;2.4728554040338877;3.6489483613115112;2.554998489138245;3.3480857745062473;3.792298460431911;3.920233872209114;3.3353080388651186;3.4332793559208956;3.481842985804574;2.303778971459115;3.3619964901051076;2.9947236709732468;2.445124788939986;3.678429566820754;2.559221157647197;0.001250484077256938;0.0006571905754294825;0.003514263781614521;0.004748095567067395;0.0008673779198564166;0.0024510765099470502;0.00015968536123324258;0.0005826278538097071;0.00046488923601362153;0.00021648371252998207;0.0014953823622677188;0.00021215548531232755
00:00:25;7;2.955994723023137;2.9570819479304737;0.0009312531107760389;2.898223086735952;3.1661221631029237;3.481165174907312;3.0199574785464374;3.0790045228933236;3.1733018578631857;2.366355073723051;3.281126034044995;2.760822306235469;2.3685304238635383;3.0227089778276084;2.6282676136707748;2.8696906220780027;3.2152515717877708;3.5109382644144023;2.9941487259586634;3.0901973496168877;3.1497825655737817;2.3620482034947274;3.253727486158945;2.7937057598068105;2.345965533385789;3.032254414480529;2.6321175619188173;0.0005918826889180763;0.00029124548190082234;0.002218442973918604;0.0032821209931937437;0.0011812754058297878;0.0015856468801336762;0.00015440365974349397;0.0005558363580781474;0.0002204270567301556;0.0001255924490709004;0.0008300134030671031;0.00013814997872795446
00:00:29;8;2.725681982787815;2.730430000472986;0.0006961310463728987;2.531517619388398;2.81305689380482;3.2463229464156806;2.8059367064942617;2.9278734167301166;2.955551942130682;2.25519315838652;2.8306992337822963;2.6835298657217392;2.1447183091226054;2.8890894673460017;2.4215428099820135;2.520455571343502;2.8727344190988147;3.270726103462208;2.790051085529667;2.926803036265961;2.9546356342149322;2.277830097187691;2.8325720800732075;2.685889256836795;2.114597167629818;2.8822631834013173;2.4237687633466622;0.00018957257120774;0.00013552096018996758;0.002138217066176775;0.0015725242513576734;0.0012897605015145504;0.0014754991829712258;0.00013504380462612254;0.0003791347474870634;0.00018587141419831505;6.970040740220714e-05;0.0006093168796363514;0.00017341076970679584
00:00:32;9;2.5103609100942093;2.5133847248627577;0.0005024067212556355;2.329978716734884;2.509527154490686;2.973245157411918;2.647402390343192;2.625590062776945;2.581060766266489;2.233329430082285;2.425731554943492;2.5017343554551883;2.0898536655521367;2.4917863294123963;2.6047634638706114;2.3275305925878436;2.5741623071556528;2.9854256599073685;2.6333779100498087;2.6326351256794207;2.5677901553240856;2.2453916018150135;2.4255979649426243;2.5123310290947014;2.072919195033549;2.492483300474906;2.5774363074236812;0.00012449933105505007;0.00011630108338492242;0.0019020284378705658;0.0010543435856849432;0.0003363217926433861;0.0012183674933553615;0.00014399638625459224;0.00019372732898400446;9.960112563862843e-05;6.655861408697045e-05;0.0006226526365958827;0.0001504828395133184
00:00:36;10;2.304734804191616;2.314071444774699;0.00034851493163767;2.210079602753947;2.336188599845562;2.5427112864010724;2.481817496074737;2.4179171366681813;2.2056563047222655;2.1684237873105263;2.165872837771531;2.335685735393811;2.0627741233842163;2.3526235436250063;2.32916031400475;2.212302657437638;2.403437062811746;2.5607324104861653;2.4904095258767667;2.434877705692049;2.190213722542625;2.1770408683404834;2.1598226982517836;2.3503953257965557;2.04545811969256;2.3637160472378143;2.3245252434629524;6.93331174581827e-05;0.00010046261186330974;0.0015080311736045413;0.000776687515423173;8.608018625505268e-05;0.0006253791476519813;0.0001344957338327347;0.00011170673034766556;4.395393725007258e-05;5.5435732712069044e-05;0.0005130843872747053;0.00015752890597855077
