Time;Epoch;Train Loss;Test Loss;Exp_Diff;Train_1;Train_2;Train_3;Test_1;Test_2;Test_3;Exp_1;Exp_2;Exp_3
00:02:14;1;3.839344830558563;2.6974831665381;1.7542035863796872;4.212954306779163;3.7421807756276597;3.5311193665853953;1.2728351805138922;3.2159528068141743;3.141143714124369;1.7090330779552465;1.1963037264347074;2.357273954749108
00:04:28;2;2.3521929103506265;2.9501474444994695;1.6958029671510069;2.452686083281409;2.3686082508844577;2.229901318548973;2.4404965604339695;3.9495670252408437;2.134246057909684;0.875911864638329;2.1156834346055984;2.095813602209092
00:06:42;3;1.9006630029933351;2.287496569547124;1.4500585621595385;2.0097327490448538;1.912426324332227;1.772331538829626;1.7452294390643153;2.1357694817297443;2.844395208962274;1.254465054273606;1.5670711088180536;1.5286395233869559
00:08:56;4;1.7417851248312892;1.558849200142078;1.4341828212638694;1.8039610637381223;1.749442348085259;1.6693178066802432;1.4381176605693375;1.5865644626750275;1.6445859754988654;1.8201048605144028;1.4781266504526132;1.0043169528245925
00:11:10;5;1.5956270362805107;2.8600214085169764;2.4386146159966793;1.6704867364932448;1.6134975707361083;1.4980575217218643;2.1352201410337073;3.1400944307038743;3.1811647116480657;2.753120851516724;1.3061537152528766;3.2565692812204365
00:13:23;6;1.56895964385587;1.8708071859149036;1.411225795298815;1.6182107644060906;1.5976417653684551;1.4878970380668628;1.6555445330076852;2.0433314064417125;1.8930735243437908;1.5679629005491738;1.082667236328125;1.583047249019146
00:15:37;7;1.4727139433902656;2.0252390463359107;1.600590945680936;1.5170301051687844;1.4859485594252737;1.4132357965989228;1.928418691829853;2.0489358967189943;2.0947177184313186;1.7749499890208247;1.1574262353777884;1.8693966126441957
00:17:50;8;1.4084620585905847;1.7957764812059827;1.4336304320891697;1.455945377363233;1.432220482572182;1.334265140209003;1.7311466928754047;1.928095624645412;1.7204701898634323;1.7572489964962008;1.209574905931949;1.3340673938393592
00:20:04;9;1.3420885763999062;2.9171569332167437;2.166593789060911;1.381280106877001;1.3546698855555728;1.2886193526738539;2.91702574867502;3.3451859530958474;2.4145610066892336;2.688744111657143;2.517125793993473;1.293911461532116
00:22:18;10;1.2828538483684935;1.8610519136629562;1.3798580458760261;1.3241388892686656;1.2950697173350305;1.2274332970391282;1.828007436694417;1.8373076818730762;1.91656764692724;1.1995766443014144;1.1496295467019078;1.790367946624756
