            15	             210
         15.02	             231
         15.04	             219
         15.06	             225
         15.08	             204
          15.1	             213
         15.12	             228
         15.14	             210
         15.16	             228
         15.18	             201
          15.2	             246
         15.22	             225
         15.24	             219
         15.26	             231
         15.28	             237
          15.3	             249
         15.32	             240
         15.34	             219
         15.36	             204
         15.38	             213
          15.4	             231
         15.42	             234
         15.44	             210
         15.46	             234
         15.48	             184
          15.5	             234
         15.52	             219
         15.54	             256
         15.56	             259
         15.58	             201
          15.6	             219
         15.62	             198
         15.64	             234
         15.66	             207
         15.68	             201
          15.7	             231
         15.72	             222
         15.74	             201
         15.76	             222
         15.78	             187
          15.8	             216
         15.82	             222
         15.84	             210
         15.86	             216
         15.88	             201
          15.9	             219
         15.92	             213
         15.94	             187
         15.96	             198
         15.98	             198
            16	             216
         16.02	             237
         16.04	             184
         16.06	             216
         16.08	             210
          16.1	             196
         16.12	             210
         16.14	             196
         16.16	             187
         16.18	             213
          16.2	             198
         16.22	             190
         16.24	             176
         16.26	             210
         16.28	             193
          16.3	             213
         16.32	             210
         16.34	             228
         16.36	             198
         16.38	             204
          16.4	             193
         16.42	             174
         16.44	             193
         16.46	             201
         16.48	             190
          16.5	             201
         16.52	             193
         16.54	             219
         16.56	             198
         16.58	             213
          16.6	             210
         16.62	             187
         16.64	             187
         16.66	             190
         16.68	             210
          16.7	             216
         16.72	             207
         16.74	             216
         16.76	             210
         16.78	             210
          16.8	             182
         16.82	             171
         16.84	             171
         16.86	             193
         16.88	             204
          16.9	             225
         16.92	             196
         16.94	             179
         16.96	             204
         16.98	             190
            17	             190
         17.02	             166
         17.04	             216
         17.06	             216
         17.08	             174
          17.1	             225
         17.12	             193
         17.14	             193
         17.16	             193
         17.18	             174
          17.2	             182
         17.22	             196
         17.24	             187
         17.26	             176
         17.28	             190
          17.3	             187
         17.32	             174
         17.34	             187
         17.36	             184
         17.38	             182
          17.4	             163
         17.42	             174
         17.44	             182
         17.46	             174
         17.48	             174
          17.5	             169
         17.52	             198
         17.54	             171
         17.56	             158
         17.58	             179
          17.6	             198
         17.62	             187
         17.64	             196
         17.66	             174
         17.68	             187
          17.7	             213
         17.72	             190
         17.74	             196
         17.76	             174
         17.78	             190
          17.8	             169
         17.82	             176
         17.84	             201
         17.86	             187
         17.88	             182
          17.9	             196
         17.92	             179
         17.94	             179
         17.96	             182
         17.98	             210
            18	             163
         18.02	             169
         18.04	             184
         18.06	             176
         18.08	             174
          18.1	             182
         18.12	             174
         18.14	             174
         18.16	             187
         18.18	             174
          18.2	             182
         18.22	             176
         18.24	             182
         18.26	             187
         18.28	             158
          18.3	             171
         18.32	             166
         18.34	             182
         18.36	             182
         18.38	             166
          18.4	             158
         18.42	             169
         18.44	             156
         18.46	             158
         18.48	             171
          18.5	             169
         18.52	             169
         18.54	             163
         18.56	             190
         18.58	             174
          18.6	             187
         18.62	             153
         18.64	             182
         18.66	             169
         18.68	             161
          18.7	             216
         18.72	             169
         18.74	             184
         18.76	             141
         18.78	             158
          18.8	             171
         18.82	             153
         18.84	             176
         18.86	             166
         18.88	             174
          18.9	             174
         18.92	             169
         18.94	             146
         18.96	             171
         18.98	             166
            19	             163
         19.02	             148
         19.04	             144
         19.06	             176
         19.08	             176
          19.1	             156
         19.12	             169
         19.14	             156
         19.16	             141
         19.18	             163
          19.2	             179
         19.22	             176
         19.24	             153
         19.26	             158
         19.28	             156
          19.3	             153
         19.32	             169
         19.34	             146
         19.36	             171
         19.38	             171
          19.4	             148
         19.42	             161
         19.44	             141
         19.46	             171
         19.48	             158
          19.5	             171
         19.52	             163
         19.54	             153
         19.56	             174
         19.58	             156
          19.6	             169
         19.62	             153
         19.64	             141
         19.66	             156
         19.68	             182
          19.7	             169
         19.72	             139
         19.74	             166
         19.76	             156
         19.78	             148
          19.8	             171
         19.82	             161
         19.84	             184
         19.86	             136
         19.88	             146
          19.9	             179
         19.92	             127
         19.94	             146
         19.96	             161
         19.98	             158
            20	             134
         20.02	             153
         20.04	             158
         20.06	             141
         20.08	             127
          20.1	             148
         20.12	             132
         20.14	             153
         20.16	             141
         20.18	             141
          20.2	             129
         20.22	             158
         20.24	             161
         20.26	             161
         20.28	             153
          20.3	             148
         20.32	             169
         20.34	             163
         20.36	             153
         20.38	             169
          20.4	             151
         20.42	             139
         20.44	             139
         20.46	             127
         20.48	             134
          20.5	             163
         20.52	             144
         20.54	             151
         20.56	             148
         20.58	             139
          20.6	             166
         20.62	             161
         20.64	             158
         20.66	             166
         20.68	             144
          20.7	             148
         20.72	             134
         20.74	             146
         20.76	             146
         20.78	             134
          20.8	             196
         20.82	             146
         20.84	             176
         20.86	             146
         20.88	             134
          20.9	             148
         20.92	             158
         20.94	             136
         20.96	             146
         20.98	             176
            21	             132
         21.02	             153
         21.04	             141
         21.06	             151
         21.08	             141
          21.1	             163
         21.12	             139
         21.14	             134
         21.16	             161
         21.18	             136
          21.2	             148
         21.22	             139
         21.24	             132
         21.26	             156
         21.28	             144
          21.3	             156
         21.32	             127
         21.34	             158
         21.36	             148
         21.38	             139
          21.4	             153
         21.42	             146
         21.44	             129
         21.46	             146
         21.48	             134
          21.5	             156
         21.52	             166
         21.54	             139
         21.56	             158
         21.58	             148
          21.6	             163
         21.62	             179
         21.64	             156
         21.66	             148
         21.68	             146
