Epoch;Train Loss;Test Loss;Exp_Diff;Train_1;Train_2;Train_3;Train_4;Test_1;Test_2;Test_3;Test_4;Exp_1;Exp_2;Exp_3;Exp_4
30;1.616033403431081;1.0406253070685028;2.2804346212744715;1.8260272228872456;1.5917944550385876;1.507759657761275;1.5181342634862818;0.8392680029501584;1.1857021741392326;0.9980766485804636;1.106881517049846;4.763663291931152;1.8295114383101467;0.8493335714936247;1.6792301833629615
31;1.6132325665332612;1.112358326616941;2.2084465458989144;1.8500426724434933;1.5782676278668493;1.4949257120690034;1.5038908819867436;1.0782222391909075;1.2418451569314746;1.042225448293166;1.0762842004264623;3.9456872940063477;2.087249784767628;0.9255432128906244;1.8753058919310568
32;1.5787281437741651;1.0772594110515659;1.9191495891287924;1.7990490136049004;1.5451804808702843;1.4741954255279057;1.473810704113175;0.8517587540717588;1.1537817652434854;1.12914190805764;1.144676623102129;3.7651100158691406;1.6088205827772621;0.7667001986503595;1.5359675592184068
33;1.5916604568518702;1.211659621338366;2.2107244873791934;1.8051111642374766;1.5617602742546735;1.4852997861036537;1.4932833348264003;0.9600988766577713;1.2849226626905044;1.3276610875677504;1.2397483954271322;4.936161994934082;1.1989688855409621;0.98891673117876;1.7188503378629683
34;1.5536198133002361;0.9969314847137579;2.113513786196709;1.7622758073657696;1.5327845926805441;1.4519635123765462;1.4462694822696238;0.8052684786542487;1.169505961886166;0.9439806349757711;1.0335320815996083;4.283056259155273;1.90431001842022;0.6323406451940531;1.634348222017288
35;1.5392884055913167;1.2907184988051945;2.147527787163854;1.7533019883556593;1.507287513752226;1.4275017364280744;1.4470281502573885;1.4706645747825593;1.240364064839847;1.2540000254155712;1.1789586945294082;4.216409683227539;1.7889234036207204;0.7835646697878832;1.8012133920192717
36;1.5191064761461535;1.1100093337845947;1.7130861072987318;1.7171124581479866;1.4896949448653092;1.4235780162613392;1.4270589940468628;0.8720678758347453;1.2535380626699253;1.1581531181346187;1.120403590382441;3.8764114379882812;1.0354642343521119;0.6345893645286554;1.3058793923258782
37;1.5028133697282777;0.9659263625017565;1.9435134254395963;1.7244799283747372;1.4649219377161942;1.3999989342435413;1.397843975923269;0.6576981516044026;1.1221415808278201;0.9891513307389797;1.0304688427369717;3.881633758544922;1.7874172091484075;0.5456653183698644;1.5593374156951902
38;1.4926453179799855;1.1447378427474038;2.021840505152941;1.7077762475143268;1.4629986260808574;1.3794660772758647;1.3972003559230688;0.9806724606996966;1.1969890370438665;1.2010148866854662;1.1852261105951416;4.19561767578125;1.6336900150775915;0.6618049198389048;1.5962494099140165
39;1.4815660599856049;1.1392195534227672;2.1143256660550835;1.6779664798077756;1.4671465040030922;1.3818241673014255;1.3793562129920256;1.1437504316400966;1.246746586954048;1.0708684058184985;1.0871906608033373;3.655059814453125;2.2836080253124242;0.989527364969253;1.529107459485531
