Epoch;Train Loss;Test Loss;Exp_Diff;Train_1;Train_2;Train_3;Train_4;Test_1;Test_2;Test_3;Test_4;Exp_1;Exp_2;Exp_3;Exp_4
1;5.956300951543895;5.957347439363502;4.9046995887160305;5.260153605042585;6.325968016590511;5.962164364600721;6.2189704384702695;1.688740369382969;7.688106040090294;3.9904983738724247;8.004814759126202;5.5203142166137695;5.7854500055313105;6.125436699390412;2.1875974333286283
2;4.215254831159033;2.6531969428968876;4.009324779808521;3.526973294445567;4.465201454497243;4.34548706878391;4.451142621752478;2.331287186317528;2.872557165441724;2.8058656525883645;2.568744688300927;7.322449684143066;3.965180245041848;3.2658577167987817;1.4838114732503895
3;3.7144646314588656;3.112896647807383;2.526526833623648;3.257010628422199;3.9386013468440275;3.7941705890436426;3.830477866257423;2.221547010193395;3.930940489321219;2.9329885424172715;3.125782424533293;5.4640045166015625;1.8379844665527338;1.656117267012596;1.1480010843276978
4;3.4635750077760687;3.565356363442936;2.9418620423600084;3.1142286889550745;3.6118613305700085;3.5575140632995916;3.547610262509324;4.8132174846696305;2.6919515835171755;3.441910128612439;2.9302991515481858;5.461481094360352;1.888540842980147;1.716271425485611;2.7011548066139217
5;3.2812362561637705;3.5186636836166683;3.989561839587987;3.0492414860573187;3.413093451966537;3.31702052311983;3.3341175378869368;1.871283568901994;3.6000952750263417;4.847820367155354;3.091961564249441;4.882171630859375;4.698080957680941;4.899028116464614;1.4789666533470158
6;3.053093684037409;2.4861477292134575;5.05847497218987;2.981217921856531;3.1509820342191843;3.043878959464108;3.033805708655983;1.6715723552432191;3.150999759274257;2.557326490162765;2.336846147430282;4.653908729553223;7.4122095618303865;3.777433210611343;4.390348386764526
7;2.948545072873929;2.331875276533468;2.763823203053325;2.8699001529293486;3.0408927712089593;2.940516488308566;2.94035359066871;2.482087243256767;2.5167594419725363;2.340171476637489;1.9440502916332345;5.680612564086914;1.4885788811743264;2.255920875594019;1.630180491358041
8;2.923179133350139;2.3071542072166036;2.580972685553134;2.785795516602475;3.1611034071166375;2.824269394161631;2.9069185834015623;1.4685811428219284;3.0296548306781688;2.2222568400548295;2.2400619911289508;7.037343978881836;1.0174102206528186;1.1237491199374192;1.1453874227404595
9;2.765595754387956;1.8789183842138704;2.3584612856805327;2.7500448183713377;2.825658266275317;2.6989871395888754;2.7861186035985614;1.3144283689210414;2.118605726872428;2.122758735337728;1.8436432132258669;5.116127014160156;1.1818007743358616;1.161504480242729;1.9744128739833833
10;2.6078440374482788;1.9549773348463573;2.578642733320594;2.6606610738934835;2.668200196485801;2.5700309431270956;2.529808973429475;1.7901078065087415;1.7909418231021408;2.2385297927035093;1.9659021301470032;5.230350494384766;1.607903494536877;2.243934681415557;1.2323822629451748
11;2.6430601788013;2.8660520054565435;2.973957471046597;2.6750268938075963;2.583671733497899;2.7340115271657783;2.5762610573998677;1.6285040095144327;2.4455561655603946;4.067729097070607;2.770889074799202;5.267358779907227;2.021244912222028;3.2841057905554765;1.3231204015016558
12;2.5266003262964705;1.7181204302866806;2.054068866623566;2.56666289801635;2.59977083771957;2.488273958771453;2.448828869037116;1.251363471142696;2.06369746956938;1.7781822651567594;1.6796015069095789;4.967867851257324;0.8702335740253329;1.019289819300174;1.35888422191143
13;2.4316329994267494;1.7350656423319808;2.616971773058176;2.4748269383068378;2.493386812407915;2.4039563532698405;2.3517235963046472;1.7432590165677817;1.6079308060032687;1.9112414478910076;1.6627007450719655;5.751766204833984;1.332372841238976;1.179209182113409;2.2045388640463353
14;2.3203580638317787;2.032945541984046;2.8587901787273586;2.4930316138150626;2.3058574970239416;2.2581985809623237;2.214633120367989;3.0308017643640657;1.7226464542938908;1.43669114730395;1.5212227903717235;6.056757926940918;2.442052562758327;0.9096316748857493;2.02671855032444
15;2.2564662064724557;2.143980509840374;2.5440940114855763;2.415825504444212;2.2598560994609342;2.1803562553120592;2.1608894207781884;1.7658811087437947;2.3876969560844468;2.5623282197714015;1.7325273426840708;4.592159271240234;1.520994069278239;2.4894615021348;1.5737612032890318
16;2.1983904037393285;1.6989013621739208;2.708337816074491;2.3418974447788075;2.2022504642982668;2.1250477487335653;2.1169465685031423;1.154594325781793;1.920222636447512;1.8542942777843474;1.756790564876435;5.328522682189941;2.5418213352561;0.9233446323871607;2.0396626144647607
17;2.228882196155574;1.4287951916283284;2.8336486288160088;2.3594213245311915;2.25077930892467;2.164207448139056;2.134242964918396;0.9885436806811371;1.7642136956246692;1.3802821845387976;1.473422983639649;4.480329513549805;2.803081340193749;1.0035187873244285;3.047664874196052
18;2.1481537649166746;1.784400174117935;2.9657110569998624;2.3614205631469996;2.1157152756493423;2.070300456595346;2.0296689901696072;1.643719413547547;1.5219167305142844;2.188313207891494;1.7116007602375871;6.148319244384766;2.1503835998475553;2.608988871574401;0.955152512192726
19;2.146344974573738;1.3675592392967386;2.5751386544294657;2.2889399400701955;2.167131949568279;2.068489034803305;2.052518718690946;1.3174874061246744;1.4737229182839156;1.3773473864901806;1.2946640355447423;6.119906425476074;1.4817941869050268;1.3093630945682522;1.3894909107685085
20;2.119293731399225;1.8044205374088147;2.4436312253773216;2.2593578292682523;2.149738493003952;2.048847054259179;2.0104168841979067;1.4649444253520458;1.973355402313759;2.0712728240427873;1.6411486709232896;5.849322319030762;0.6033336794376374;1.586450098156929;1.7354188048839567
21;2.1312999287197676;1.5072992232228968;2.5729346420615915;2.22629083940888;2.127691196330153;2.1751755049414805;1.9887001785196385;1.4276842746667222;1.5836927319677607;1.5693289003088882;1.4417508586959584;5.9080610275268555;1.6622636586427693;1.7496958762407298;0.9717180058360104
22;2.0883384952101;1.4786475872629796;2.1656204054877164;2.2152555365496376;2.071885647761738;2.0925168054983234;1.966198597590802;1.8135132573295643;1.3279636406139057;1.420217047118393;1.2947048100799061;5.751255035400391;0.9720641921460631;0.7929555934667586;1.1462068009376523
23;2.012829885022977;1.3387331504759228;1.984072708785534;2.264438516784689;1.9599208284000351;1.9246487696151484;1.8795457542740435;1.3899388668515356;1.2721972680761149;1.439657639401708;1.243300353316364;4.569916725158691;1.1364564663171772;0.8400039273500443;1.389913716316223
24;1.9162273898357305;1.224097524139643;2.3255951750278476;2.1242752037996664;1.8905129251464166;1.7967685711039392;1.8365043177462619;1.1632406799772854;1.317963618678014;1.210523261760815;1.199222829855802;5.198282241821289;1.612670189738274;0.717247534990311;1.7741807335615156
25;1.8782391611479214;1.3160438225658533;1.8806814289093023;2.0436280956058974;1.8833422226305214;1.7939499284883742;1.7803031455607217;1.184168966166624;1.4957086713238736;1.2799582256320785;1.2845979119609223;4.472241401672363;0.8759980922937394;0.7680501884222027;1.4064360332489023
26;1.8409143468314144;1.2911867914238144;2.079328194456175;2.022999247052945;1.8377034623080348;1.753733241432091;1.735108717887314;1.3848487955882567;1.2858488353221211;1.2906610959432698;1.1965089903300659;4.472929954528809;1.5728916095569734;0.8015350764989845;1.4699561372399337
27;1.8563697053451393;1.6935274928921944;2.7471631614863874;2.046526889725289;1.7912613824668582;1.7925024237648455;1.781706833111929;0.8195495815531157;1.7843786964267656;2.13998897804543;1.7426760680472453;4.30996036529541;2.6452713131904604;2.750742433369159;1.282678534090519
28;1.9180844959499792;1.5873805040395237;1.8906046927347786;2.0017751850854864;1.9450940747427858;1.7940465849383778;1.9253816629687388;1.3506590842893575;1.638570049230434;1.7183113303780375;1.6178139442765909;4.57025146484375;1.3026155306398868;0.5651781570911406;1.124373618364335
29;1.8435900776939296;1.7842189840573703;2.940772437863052;1.9388992703077625;1.948392772500278;1.721860769802518;1.7535473221382682;1.1052580115485806;2.3999294029571896;1.8392962022966561;1.5393123885661035;4.692914962768555;3.138705040365458;1.9193507820367808;2.012118966281414
30;1.8639380400402912;1.4903267219814436;1.9118084014952186;2.0154516315640167;1.9081369675656379;1.7525652099225024;1.7670719518088442;1.1366739534069215;1.7609893595662167;1.6716499063939971;1.302601416828787;4.515904426574707;1.1388861817121505;0.6674538981914521;1.3249890995025635
31;1.7725089474416644;1.0986804682422788;2.117065981552005;1.9799894990738451;1.7544298426928422;1.669321493456199;1.6679733580575105;0.8362934547220565;1.1728564503095795;1.2755685834659196;1.0612920969267072;4.014349937438965;1.708172638714314;1.4636468195915215;1.2820945304632194
32;1.7091902861041695;1.0408560192359253;1.8698104631155732;1.8798174497905291;1.6915951923045027;1.6216507653832257;1.631063022974398;0.947795955593324;1.1070244382660328;1.077067330311817;1.024514857100701;4.216159820556641;1.0697078242897988;1.0111602336168284;1.1822139739990234
33;1.744645498495436;1.3888008386687325;2.156221069097519;1.915063043324839;1.7348417736261144;1.6413704547908439;1.674488676394293;1.727847809706169;1.2310363728209353;1.2764952643955496;1.258857538938938;5.24234676361084;1.134417604804039;1.108714809417724;1.1394050985574722
34;1.8303056793680692;1.296161200184129;2.1690407449007036;1.9863908076553183;1.8069962587540382;1.763094044484267;1.7551612441023687;1.4989647157216102;1.2187447725314378;1.2606786805371064;1.1826202537887314;4.415504455566406;1.590137243866921;0.7857017195224759;1.8848195606470106
35;1.7176541744050529;1.1918061131928521;1.6925229898095133;1.8858954088643534;1.6923745373786117;1.6498980878016816;1.630474374992134;0.9701124747246773;1.3585353636490696;1.220275012305088;1.1856642216407907;4.003362655639648;1.023632092475891;0.6616285240650174;1.0814686870574952
36;1.6422478645874306;1.0210380594565214;1.924476031959057;1.8520174277839057;1.6142080111302963;1.5522812559506258;1.5305878140501852;0.9059651104950908;1.1059689969286575;1.0674532765497466;0.9933167377711171;4.413740158081055;1.356071189641953;0.6959279382228846;1.232164841890335
37;1.631835597249966;1.0947963629309694;1.9187606243044142;1.8332269485982051;1.6066885230907748;1.5452193608135518;1.5237052655838432;0.8305619905513999;1.3055864982328738;1.0998684607947147;1.0909703581899965;3.9893436431884766;1.4632572576403622;1.0177538782358164;1.2046877181530007
38;1.6582120169438184;1.2995590775773622;2.0354902607947594;1.9011010380489337;1.63009503469955;1.5598767203870483;1.5146147980623799;1.4082204191648826;1.244752229881533;1.4243633554214317;1.0927540116643275;4.611637115478516;1.2989930403232577;0.8391642430424692;1.3921666443347938
39;1.7153074822490442;1.1167625517135373;2.048178573474288;1.8735019239298287;1.7184677472860084;1.665854533864492;1.5908824122690852;1.2757891637786152;1.1469251347359886;1.0035118545287343;1.0190795245742033;4.454442024230957;1.4717553323507313;0.8548322668671605;1.411684670448303
40;1.6631418237854856;1.4628834677232152;1.995526396632195;1.8452523443364672;1.6435577502973875;1.5394895658797756;1.6086940388940798;1.3409592802363426;1.4205728109356832;1.4911775861261884;1.5875460901358354;4.529367446899414;1.2952609118819236;0.7152117389440537;1.4422654888033868
41;1.6801659380343958;1.1945220838513455;2.2747411386668683;1.8624203006217093;1.639344531808495;1.5908083406562856;1.6140319785375858;0.9949551221284649;1.2721910394583338;1.2453857310481087;1.2442430278172378;4.428643226623535;1.8402713900804524;0.9523659473657605;1.8776839905977247
42;1.6728928273770385;1.0995353236423264;1.9580447390675548;1.8588225981548718;1.6539713031131726;1.5949972402101984;1.5682547460507716;1.0214169603915766;1.1288538954507914;1.2324033405826802;0.9997449670636295;3.947333335876465;1.5375513106584553;1.3068041706085198;1.0404901391267785
43;1.6671102287116573;1.5576159380219712;1.9697046855837108;1.8058537391996827;1.622224462488128;1.558860675371119;1.671603868584394;1.6264144788653927;1.320162983849261;1.610104637172019;1.6505085241980393;4.994035720825195;1.2248845452070238;0.3745608085393898;1.285337667763234
44;1.6734072184584274;1.2492507359184413;1.9757580465078357;1.824220461386421;1.6351062537048346;1.607690916734714;1.6171406978382585;1.4066050349453616;1.096284062637995;1.3174545855517825;1.1517146069606814;4.678354263305664;1.0928094279766085;0.7672687378525734;1.3645997568964965
45;1.6168562500631696;1.1553346325257643;1.9550620194524528;1.777793169414503;1.5895644639041786;1.5829638864274613;1.5046122821508834;0.7075578081367675;1.2518431145204447;1.3334041841836899;1.222078773159961;3.8853492736816406;1.4952178120613102;0.9919870996475214;1.4476938924193383
46;1.6074530889989531;1.1484534629465515;1.7458204387128355;1.7950878874981806;1.5800528258155047;1.5402580237308632;1.498105294335346;0.8122559151168933;1.3076668583164297;1.2900283202909744;1.1143859643533889;3.7898569107055664;0.9444845300912856;0.8956360238790512;1.3533042901754377
47;1.6119521352076973;1.642198207360004;1.9535573899745944;1.823540491118749;1.6294629518606891;1.4962440103322245;1.4745721772798572;2.210466733430931;1.5017315067084247;1.3710584767744065;1.3289461308519996;3.400090217590332;1.8690372771024708;1.3261210072040557;1.2189810580015183
48;1.6024107593492134;0.9811771560399236;2.035611967593432;1.8110848830221207;1.5827366084315317;1.4995872393372294;1.495672245296933;0.8603277270969797;1.0560789177696424;1.0446256930866966;0.9508549401442001;4.035599708557129;1.7056848993897442;0.8927570927143095;1.5084061697125442
49;1.562055250554471;1.324252810305583;2.0010358875989915;1.7047587886706435;1.537642510652148;1.5407856799731183;1.4544754536675406;1.4254261763317038;1.279894300561593;1.4196318428778418;1.1529346271496037;4.285036087036133;1.462188867926598;0.7991568607091902;1.4577617347240455
50;1.604160214334191;1.274787081002131;1.8420325382426381;1.7806787442330032;1.568329847702625;1.5450968870730146;1.508482779816114;1.743878497314402;1.132106199110907;1.0779808412921539;1.0077247260946098;3.511349678039551;1.408771994262934;1.096098827719688;1.3519096529483796
