Epoch;Train Loss;Test Loss;Exp_Diff;Train_1;Train_2;Train_3;Train_4;Test_1;Test_2;Test_3;Test_4;Exp_1;Exp_2;Exp_3;Exp_4
1;5.6701573819243265;5.9940989662821655;3.5662942151352763;4.179328711765379;6.301849566168735;5.98032306541678;5.971463659407083;5.613912727826775;6.665874699282001;5.659247725137971;5.9782860001886045;5.735328674316406;3.7147621540725235;3.131186743974685;1.68389928817749
2;3.97578314175752;5.529289915303946;3.7153123780339956;3.35345830085226;4.237538507094276;4.129713319143443;4.119521701840637;5.309689167265938;6.426123593857571;4.78373015254334;5.469940602163374;5.568620681762695;2.380349418222904;3.9286633038520806;2.983616108298301
3;3.6293230852681457;5.64553256095679;3.3174470452964306;3.1674921114076575;3.8696608394965084;3.7547908135351706;3.685404839868462;5.244534277203377;6.795950881596887;4.81501512582217;5.532964177350271;4.520777702331543;4.161751694083215;2.0501085871458047;2.5371501976251603
4;3.3719118362060887;5.770586542053172;3.6242179641872645;3.07466776235963;3.554696083431492;3.438382454696312;3.4010641931198395;5.508832538825534;6.804087190079939;4.56138652776895;5.979096193168525;5.084613800048828;4.513930766880513;2.0261565649509423;2.872170724868774
5;3.16434086881323;5.345253886773131;2.537118182554841;2.9719647233100495;3.3081494201122803;3.2036802031074565;3.1642090282350543;5.524121583189331;5.929403935021368;4.445932565305652;5.370930071682034;4.594265937805176;1.7785788163542748;2.422727620005607;1.3529003560543056
6;2.9912149208800023;6.551110930126409;2.726472108587623;2.846085166347774;3.121469726697297;3.023858083765454;2.9668122851059344;5.894647886138707;6.7583973632685215;5.653305095079046;7.699711060664926;5.624044418334961;1.4584565818309794;1.2647126677632334;2.558674766421318
7;2.8452118279692984;5.509005565493971;2.3115533133596187;2.734476433154852;2.9385565691078797;2.8667473569141606;2.8372883018077872;5.846679894302716;6.487975086870825;4.612782028265782;4.8827578927478;5.170368194580078;1.5240718480944633;1.127484654188156;1.4242885565757752
8;2.688471430777294;5.059365930807931;1.9892402823641895;2.6341796795755683;2.7552151125158324;2.703612176878156;2.6593012004550776;5.557267328690134;5.906718179090506;4.176492722676707;4.3787102396675035;4.185070991516113;1.167514116317034;1.238246881961822;1.3661291396617883
9;2.591179509672401;5.6916946135149376;2.654318606443703;2.6179744592730416;2.636951381676147;2.569321544219201;2.539316624002398;5.833576107517244;6.699961303314838;4.15783741602969;5.77701009746161;5.400781631469727;1.7170452684164048;1.0680097927153103;2.4314377331733703
10;2.461699361063642;5.056707143427219;2.6628967479988934;2.500481272895823;2.521979326060102;2.4300376899761287;2.392067202295486;5.851249108127677;5.503593129090165;3.83069255995213;4.804194973781019;4.772580146789551;1.9373460437357428;1.34214651107788;2.5995142903923996
