            15	             249
         15.02	             234
         15.04	             243
         15.06	             256
         15.08	             243
          15.1	             249
         15.12	             265
         15.14	             262
         15.16	             243
         15.18	             249
          15.2	             210
         15.22	             237
         15.24	             213
         15.26	             256
         15.28	             216
          15.3	             234
         15.32	             225
         15.34	             222
         15.36	             210
         15.38	             246
          15.4	             259
         15.42	             228
         15.44	             213
         15.46	             256
         15.48	             222
          15.5	             228
         15.52	             225
         15.54	             234
         15.56	             228
         15.58	             198
          15.6	             234
         15.62	             231
         15.64	             246
         15.66	             204
         15.68	             222
          15.7	             213
         15.72	             210
         15.74	             231
         15.76	             210
         15.78	             237
          15.8	             213
         15.82	             240
         15.84	             237
         15.86	             196
         15.88	             219
          15.9	             213
         15.92	             237
         15.94	             201
         15.96	             201
         15.98	             210
            16	             222
         16.02	             213
         16.04	             187
         16.06	             231
         16.08	             219
          16.1	             210
         16.12	             219
         16.14	             219
         16.16	             184
         16.18	             210
          16.2	             225
         16.22	             196
         16.24	             222
         16.26	             207
         16.28	             198
          16.3	             198
         16.32	             219
         16.34	             219
         16.36	             193
         16.38	             193
          16.4	             213
         16.42	             213
         16.44	             210
         16.46	             201
         16.48	             193
          16.5	             234
         16.52	             219
         16.54	             196
         16.56	             219
         16.58	             210
          16.6	             207
         16.62	             184
         16.64	             198
         16.66	             228
         16.68	             207
          16.7	             207
         16.72	             207
         16.74	             216
         16.76	             210
         16.78	             182
          16.8	             182
         16.82	             219
         16.84	             193
         16.86	             204
         16.88	             204
          16.9	             201
         16.92	             210
         16.94	             198
         16.96	             201
         16.98	             225
            17	             193
         17.02	             187
         17.04	             237
         17.06	             201
         17.08	             198
          17.1	             166
         17.12	             179
         17.14	             196
         17.16	             219
         17.18	             196
          17.2	             193
         17.22	             176
         17.24	             196
         17.26	             201
         17.28	             179
          17.3	             190
         17.32	             171
         17.34	             207
         17.36	             193
         17.38	             213
          17.4	             179
         17.42	             219
         17.44	             207
         17.46	             201
         17.48	             198
          17.5	             184
         17.52	             193
         17.54	             171
         17.56	             196
         17.58	             198
          17.6	             198
         17.62	             174
         17.64	             179
         17.66	             182
         17.68	             198
          17.7	             216
         17.72	             187
         17.74	             187
         17.76	             171
         17.78	             176
          17.8	             198
         17.82	             187
         17.84	             196
         17.86	             169
         17.88	             210
          17.9	             179
         17.92	             166
         17.94	             216
         17.96	             179
         17.98	             193
            18	             198
         18.02	             158
         18.04	             196
         18.06	             190
         18.08	             207
          18.1	             190
         18.12	             187
         18.14	             179
         18.16	             174
         18.18	             193
          18.2	             201
         18.22	             184
         18.24	             153
         18.26	             184
         18.28	             207
          18.3	             182
         18.32	             179
         18.34	             184
         18.36	             169
         18.38	             169
          18.4	             190
         18.42	             179
         18.44	             174
         18.46	             156
         18.48	             210
          18.5	             179
         18.52	             193
         18.54	             201
         18.56	             153
         18.58	             169
          18.6	             198
         18.62	             201
         18.64	             182
         18.66	             176
         18.68	             201
          18.7	             182
         18.72	             198
         18.74	             184
         18.76	             201
         18.78	             156
          18.8	             196
         18.82	             171
         18.84	             184
         18.86	             193
         18.88	             184
          18.9	             182
         18.92	             184
         18.94	             176
         18.96	             196
         18.98	             171
            19	             190
         19.02	             158
         19.04	             174
