            15	             268
         15.02	             268
         15.04	             282
         15.06	             278
         15.08	             262
          15.1	             285
         15.12	             268
         15.14	             285
         15.16	             292
         15.18	             265
          15.2	             309
         15.22	             313
         15.24	             285
         15.26	             292
         15.28	             299
          15.3	             320
         15.32	             265
         15.34	             275
         15.36	             268
         15.38	             295
          15.4	             249
         15.42	             265
         15.44	             289
         15.46	             237
         15.48	             292
          15.5	             316
         15.52	             275
         15.54	             259
         15.56	             278
         15.58	             256
          15.6	             268
         15.62	             275
         15.64	             289
         15.66	             252
         15.68	             278
          15.7	             292
         15.72	             265
         15.74	             278
         15.76	             262
         15.78	             285
          15.8	             275
         15.82	             289
         15.84	             278
         15.86	             246
         15.88	             268
          15.9	             282
         15.92	             268
         15.94	             272
         15.96	             265
         15.98	             262
            16	             285
         16.02	             259
         16.04	             278
         16.06	             246
         16.08	             268
          16.1	             265
         16.12	             265
         16.14	             265
         16.16	             272
         16.18	             240
          16.2	             275
         16.22	             268
         16.24	             272
         16.26	             237
         16.28	             246
          16.3	             256
         16.32	             265
         16.34	             216
         16.36	             234
         16.38	             262
          16.4	             278
         16.42	             259
         16.44	             246
         16.46	             249
         16.48	             262
          16.5	             259
         16.52	             272
         16.54	             262
         16.56	             234
         16.58	             259
          16.6	             216
         16.62	             243
         16.64	             268
         16.66	             262
         16.68	             249
          16.7	             246
         16.72	             225
         16.74	             228
         16.76	             231
         16.78	             243
          16.8	             246
         16.82	             259
         16.84	             243
         16.86	             268
         16.88	             249
          16.9	             265
         16.92	             231
         16.94	             282
         16.96	             265
         16.98	             243
            17	             256
         17.02	             268
         17.04	             237
         17.06	             243
         17.08	             240
          17.1	             231
         17.12	             262
         17.14	             262
         17.16	             240
         17.18	             249
          17.2	             252
         17.22	             246
         17.24	             240
         17.26	             262
         17.28	             237
          17.3	             249
         17.32	             246
         17.34	             246
         17.36	             231
         17.38	             219
          17.4	             249
         17.42	             219
         17.44	             243
         17.46	             252
         17.48	             240
          17.5	             231
         17.52	             234
         17.54	             246
         17.56	             231
         17.58	             234
          17.6	             234
         17.62	             237
         17.64	             213
         17.66	             216
         17.68	             225
          17.7	             243
         17.72	             237
         17.74	             234
         17.76	             210
         17.78	             234
          17.8	             243
         17.82	             246
         17.84	             237
         17.86	             222
         17.88	             249
          17.9	             219
         17.92	             231
         17.94	             207
         17.96	             198
         17.98	             228
            18	             228
         18.02	             240
         18.04	             246
         18.06	             222
         18.08	             219
          18.1	             265
         18.12	             249
         18.14	             234
         18.16	             204
         18.18	             231
          18.2	             234
         18.22	             240
         18.24	             246
         18.26	             216
         18.28	             216
          18.3	             228
         18.32	             234
         18.34	             225
         18.36	             222
         18.38	             234
          18.4	             228
         18.42	             237
         18.44	             222
         18.46	             243
         18.48	             234
          18.5	             198
         18.52	             198
         18.54	             243
         18.56	             231
         18.58	             222
          18.6	             196
         18.62	             240
         18.64	             207
         18.66	             228
         18.68	             234
          18.7	             190
         18.72	             213
         18.74	             219
         18.76	             262
         18.78	             201
          18.8	             231
         18.82	             237
         18.84	             225
         18.86	             240
         18.88	             252
          18.9	             201
         18.92	             210
         18.94	             204
         18.96	             219
         18.98	             222
            19	             201
         19.02	             216
         19.04	             213
         19.06	             207
         19.08	             222
          19.1	             222
         19.12	             225
         19.14	             210
         19.16	             204
         19.18	             213
          19.2	             228
         19.22	             210
         19.24	             210
         19.26	             234
         19.28	             210
          19.3	             228
         19.32	             210
         19.34	             228
         19.36	             222
         19.38	             216
          19.4	             225
         19.42	             219
         19.44	             207
         19.46	             198
         19.48	             216
          19.5	             216
         19.52	             225
         19.54	             210
         19.56	             234
         19.58	             204
          19.6	             187
         19.62	             207
         19.64	             216
         19.66	             234
         19.68	             231
          19.7	             231
         19.72	             204
         19.74	             210
         19.76	             201
         19.78	             198
          19.8	             231
         19.82	             204
         19.84	             201
         19.86	             216
         19.88	             193
          19.9	             213
         19.92	             225
         19.94	             207
         19.96	             216
         19.98	             190
            20	             210
         20.02	             213
         20.04	             198
         20.06	             198
         20.08	             201
          20.1	             201
         20.12	             198
         20.14	             219
         20.16	             216
         20.18	             216
          20.2	             210
         20.22	             213
         20.24	             174
         20.26	             196
         20.28	             213
          20.3	             190
         20.32	             201
         20.34	             198
         20.36	             204
         20.38	             196
          20.4	             193
         20.42	             201
         20.44	             237
         20.46	             204
         20.48	             213
          20.5	             219
         20.52	             216
         20.54	             213
         20.56	             190
         20.58	             198
          20.6	             193
         20.62	             210
         20.64	             204
         20.66	             216
         20.68	             219
          20.7	             198
         20.72	             216
         20.74	             198
         20.76	             204
         20.78	             207
          20.8	             184
         20.82	             201
         20.84	             190
         20.86	             216
         20.88	             179
          20.9	             182
         20.92	             216
         20.94	             193
         20.96	             198
         20.98	             196
            21	             193
         21.02	             216
         21.04	             171
         21.06	             187
         21.08	             207
          21.1	             207
         21.12	             201
         21.14	             196
         21.16	             219
         21.18	             216
          21.2	             187
         21.22	             193
         21.24	             207
         21.26	             190
         21.28	             222
          21.3	             193
         21.32	             190
         21.34	             187
